metric,value,ci_low,ci_high,n
Source factual precision,0.5723585285966238,0.5554023305618544,0.5888919312169312,1575
Target recall,0.7567180650037794,0.7401142857142857,0.7717044217687076,1575
Novel supported claim rate,0.015380952380952382,0.012533465608465608,0.018677248677248674,1575
Semantic similarity,0.8563363755316962,0.8533904894675528,0.8591445784890462,1575
BERTScore F1,0.5014147874097975,0.4975941735146538,0.5051600447978293,1575
Instruction pass rate,0.659047619047619,0.6355555555555555,0.6806349206349206,1575
Contradiction rate,0.572063492063492,0.5479365079365079,0.5961904761904762,1575
Unsupported claim ratio,0.17470471151423533,0.16693358528596625,0.1815422398589065,1575
Contradicted claim ratio,0.2529367598891408,0.23815669564121947,0.2677799634668683,1575
Repetition rate,0.007196412946001453,0.006388505741810246,0.008012491142626024,1575
Average word count,60.852698412698416,60.23036507936508,61.53526984126984,1575
Invalid target facts per response,0.0044444444444444444,0.0012698412698412698,0.007619047619047619,1575
