metric,value,ci_low,ci_high,n
Source factual precision,0.5621763668430334,0.5457542202066011,0.5788508062484252,1575
Target recall,0.7434179894179893,0.7260103174603174,0.760139417989418,1575
Novel supported claim rate,0.016816326530612245,0.013872637944066516,0.01985442176870748,1575
Semantic similarity,0.8565894065962898,0.8536457410748043,0.8594981826278899,1575
BERTScore F1,0.4943496988595478,0.49040961105080827,0.4981120571293055,1575
Instruction pass rate,0.6526984126984127,0.6279365079365079,0.6749206349206349,1575
Contradiction rate,0.579047619047619,0.5555555555555556,0.6050793650793651,1575
Unsupported claim ratio,0.1753618039808516,0.16830863567649282,0.18263749055177625,1575
Contradicted claim ratio,0.2624618291761149,0.24803425925925926,0.27734144620811285,1575
Repetition rate,0.008020701381319151,0.007134020626419958,0.0089502722053545,1575
Average word count,62.71809523809524,61.99315873015873,63.39361904761904,1575
Invalid target facts per response,0.007619047619047619,0.0038095238095238095,0.012063492063492064,1575
